timestamp,open,high,low,close,volume
2026-08-10 06:00:00+00:00,1.10003,1.10026,1.09985,1.10008,1000
2026-08-10 06:15:00+00:00,1.10008,1.10038,1.09988,1.10018,1107
2026-08-10 06:30:00+00:00,1.10018,1.10052,1.09996,1.1003,1213
2026-08-10 06:45:00+00:00,1.1003,1.10067,1.10006,1.10043,1314
2026-08-10 07:00:00+00:00,1.10043,1.10084,1.10025,1.10058,1409
2026-08-10 07:15:00+00:00,1.10058,1.10091,1.10038,1.10073,1495
2026-08-10 07:30:00+00:00,1.10073,1.10109,1.10051,1.10089,1570
2026-08-10 07:45:00+00:00,1.10089,1.10127,1.10065,1.10105,1634
2026-08-10 08:00:00+00:00,1.10105,1.10145,1.10087,1.10121,1685
2026-08-10 08:15:00+00:00,1.10121,1.10162,1.10101,1.10136,1723
2026-08-10 08:30:00+00:00,1.10136,1.10168,1.10114,1.1015,1747
2026-08-10 08:45:00+00:00,1.1015,1.10182,1.10126,1.10162,1757
2026-08-10 09:00:00+00:00,1.10162,1.10195,1.10144,1.10173,1754
2026-08-10 09:15:00+00:00,1.10173,1.10206,1.10153,1.10182,1738
2026-08-10 09:30:00+00:00,1.10182,1.10216,1.1016,1.1019,1711
2026-08-10 09:45:00+00:00,1.1019,1.10214,1.10166,1.10196,1674
2026-08-10 10:00:00+00:00,1.10196,1.10222,1.10178,1.10202,1628
2026-08-10 10:15:00+00:00,1.10202,1.10228,1.10182,1.10206,1576
2026-08-10 10:30:00+00:00,1.10206,1.10234,1.10184,1.1021,1520
2026-08-10 10:45:00+00:00,1.1021,1.10239,1.10186,1.10213,1487
2026-08-10 11:00:00+00:00,1.10213,1.10235,1.10195,1.10217,1595
2026-08-10 11:15:00+00:00,1.10217,1.10242,1.10197,1.10222,1700
2026-08-10 11:30:00+00:00,1.10222,1.1025,1.102,1.10228,1800
2026-08-10 11:45:00+00:00,1.10228,1.1026,1.10204,1.10236,1893
2026-08-10 12:00:00+00:00,1.10236,1.10271,1.10218,1.10245,1978
2026-08-10 12:15:00+00:00,1.10245,1.10273,1.10225,1.10255,2052
2026-08-10 12:30:00+00:00,1.10255,1.10288,1.10233,1.10268,2114
2026-08-10 12:45:00+00:00,1.10268,1.10304,1.10244,1.10282,2163
2026-08-10 13:00:00+00:00,1.10282,1.10322,1.10264,1.10298,2199
2026-08-10 13:15:00+00:00,1.10298,1.1034,1.10278,1.10314,2221
2026-08-10 13:30:00+00:00,1.10314,1.1035,1.10292,1.10332,2229
2026-08-10 13:45:00+00:00,1.10332,1.1037,1.10308,1.1035,2224
2026-08-10 14:00:00+00:00,1.1035,1.10389,1.10332,1.10367,2206
2026-08-10 14:15:00+00:00,1.10367,1.10409,1.10347,1.10385,2177
2026-08-10 14:30:00+00:00,1.10385,1.10427,1.10363,1.10401,2139
2026-08-10 14:45:00+00:00,1.10401,1.10434,1.10377,1.10416,2092
2026-08-10 15:00:00+00:00,1.10416,1.10449,1.10398,1.10429,2039
2026-08-10 15:15:00+00:00,1.10429,1.10463,1.10409,1.10441,1983
2026-08-10 15:30:00+00:00,1.10441,1.10475,1.10419,1.10451,1975
2026-08-10 15:45:00+00:00,1.10451,1.10485,1.10427,1.10459,2082
